roll;camber;kingpin;spindle length;scrub radius;castor;mechanical trail;spring travel;spring ratio;ARB travel;ARB ratio;toe (SAE);anti-dive;RCy;RCz
2.5;-2.162;7.3241;35.9191;-0.0989;0.7601;11.9294;25.7044;1.0348;-0.33;-0.06;-0.3952;1.7137;90.62;84.1216
2;-1.7218;6.8829;35.8945;-0.0628;0.7586;11.8469;20.4414;1.0439;-0.3;-0.08;-0.3051;1.6115;72.5511;84.7048
1.5;-1.2855;6.4458;35.872;-0.035;0.7573;11.775;15.2284;1.055;-0.26;-0.14;-0.2207;1.5123;54.4452;85.1596
1;-0.8531;6.0128;35.8515;-0.0153;0.756;11.7128;10.0754;1.0686;-0.19;-0.16;-0.1419;1.4159;36.3119;85.485
0.5;-0.4246;5.5838;35.8328;-0.0037;0.7548;11.6595;4.9945;1.0854;-0.11;-0.22;-0.0683;1.3223;18.1605;85.6805
0;0;5.1589;35.816;0;0.7537;11.6145;0;1.1061;0;-0.26;0;1.2313;0;85.7457
-0.5;0.4208;4.738;35.801;-0.0042;0.7527;11.5771;-4.8908;1.1321;0.13;-0.32;0.0633;1.1426;-18.1605;85.6805
-1;0.8376;4.3212;35.7877;-0.0161;0.7518;11.5465;-9.6567;1.165;0.29;-0.38;0.1216;1.0563;-36.3119;85.485
-1.5;1.2506;3.9085;35.7761;-0.0356;0.7509;11.5223;-14.2715;1.2077;0.48;-0.48;0.1751;0.9723;-54.4452;85.1596
-2;1.6597;3.4998;35.7662;-0.0626;0.7502;11.5038;-18.7018;1.2645;0.72;-0.56;0.2239;0.8903;-72.5511;84.7048
-2.5;2.0649;3.0952;35.7578;-0.0971;0.7495;11.4905;-22.9044;1.343;1;-0.4;0.2682;0.8103;-90.62;84.1216
