roll;camber;kingpin;spindle length;scrub radius;castor;mechanical trail;spring travel;ARB travel;toe (SAE);anti-dive;RCy;RCz
2.5;-2.954;8.1364;56.051;-0.1861;0.7609;12.1176;16.8089;0;-0.4312;3.2211;-46.9715;-83.9627
2;-2.3561;7.5377;55.9801;-0.1191;0.7598;12.0343;13.4324;0;-0.3702;3.9631;-37.6142;-84.174
1.5;-1.7618;6.9424;55.9179;-0.0668;0.7588;11.9425;10.0603;0;-0.2967;4.7091;-28.2324;-84.3383
1;-1.171;6.3504;55.864;-0.0295;0.7579;11.8436;6.6955;0;-0.2106;5.4607;-18.832;-84.4556
0.5;-0.5838;5.7619;55.8184;-0.0072;0.7571;11.7391;3.3409;0;-0.1117;6.2191;-9.4191;-84.5259
0;0;5.1766;55.7808;0;0.7563;11.6303;0;0;0;6.9856;0;-84.5494
-0.5;0.5804;4.5946;55.7511;-0.0078;0.7557;11.5187;-3.3234;0;0.1247;7.7617;9.4191;-84.5259
-1;1.1575;4.0157;55.7291;-0.0308;0.7551;11.4056;-6.6249;0;0.2624;8.5486;18.832;-84.4556
-1.5;1.7312;3.44;55.7145;-0.0689;0.7546;11.2925;-9.899;0;0.4135;9.3477;28.2324;-84.3383
-2;2.3018;2.8675;55.7073;-0.1221;0.7542;11.1807;-13.1396;0;0.5779;10.1606;37.6142;-84.174
-2.5;2.869;2.298;55.7071;-0.1903;0.7538;11.0716;-16.3386;0;0.756;10.9886;46.9715;-83.9627
